FID,Box,x,y,adj,Species,number,Grid ref,Lat,Lng,NEAR_FID,NEAR_DIST,Bearing
0,B1,447797,207574,0,G,1,SP4779707574,51.764814,-1.3088056,5642,11.19486067,350
1,B10,447763,207547,0,G,10,SP4776307547,51.764574,-1.309302,5640,19.4740829,40
2,B100,447812,207582,0,G,100,SP4781207582,51.764885,-1.3085872,5643,5.602096063,190
3,B101,447803,207555,0,G,101,SP4780307555,51.764643,-1.3087213,5641,9.213667171,20
4,B102,447822,207527,40,G,102,SP4782207527,51.764389,-1.3084499,5646,12.81633061,150
5,B103,447835,207497,40,G,103,SP4783507497,51.764119,-1.3082656,5649,4.493444122,80
6,B104,447842,207451,330,G,104,SP4784207451,51.763704,-1.3081705,5651,22.59455252,20
7,B105,447819,207428,330,G,105,SP4781907428,51.7635,-1.3085069,5653,5.219943294,270
8,B106,447801,207406,330,G,106,SP4780107406,51.763303,-1.3087707,5653,25.80363445,50
9,B107,447774,207456,130,G,107,SP4777407456,51.763755,-1.3091551,5728,7.377569089,50
10,B108,447808,207496,190,G,108,SP4780807496,51.764112,-1.308657,5649,22.80242375,130
11,B109,447799,207515,0,G,109,SP4779907515,51.764283,-1.3087848,5648,26.79778972,340
12,B11,447749,207574,0,G,11,SP4774907574,51.764818,-1.3095011,5639,24.49630577,350
13,B110,447774,207568,0,G,110,SP4777407568,51.764762,-1.3091397,5640,4.24303147,20
14,B111,447750,207601,0,G,111,SP4775007601,51.765061,-1.3094829,5639,4.130880675,190
15,B112,447767,207642,0,G,112,SP4776707642,51.765428,-1.309231,5639,48.05815847,110
16,B113,447737,207672,0,G,113,SP4773707672,51.7657,-1.3096616,5657,23.42557515,60
17,B114,447785,207707,0,G,114,SP4778507707,51.766011,-1.3089613,5638,7.6666247,60
18,B115,447807,207692,160,G,115,SP4780707692,51.765874,-1.3086445,5638,28.77489991,120
19,B116,447854,207708,100,G,116,SP4785407708,51.766014,-1.3079613,5625,6.367695522,150
20,B117,447848,207749,0,G,117,SP4784807749,51.766383,-1.3080426,5660,22.57576853,160
21,B118,447877,207748,0,G,118,SP4787707748,51.766372,-1.3076226,5624,15.83235581,350
22,B119,447918,207771,10,G,119,SP4791807771,51.766575,-1.3070253,5616,3.413799249,300
23,B12,447761,207644,270,G,12,SP4776107644,51.765446,-1.3093176,5639,47.76517946,300
24,B121,447973,207793,0,G,121,SP4797307793,51.766768,-1.3062254,5611,14.38199546,250
25,B122,447908,207821,30,G,122,SP4790807821,51.767025,-1.3071633,5664,2.593173818,180
26,B123,447861,207832,0,G,123,SP4786107832,51.767128,-1.3078429,5662,3.267242097,220
